,original_text,refined_text,label
34,b' KHARTOUM (Reuters) - Sudan on Monday ruled out any notion  of self-rule for Darfur and said rebels in the western region  would not secure the same concessions agreed with southern  rebels after two decades of war.',"Sudan has rejected the possibility of self-rule for Darfur and stated that rebels in the region will not receive the same concessions granted to southern rebels after their two-decade long war. 
",0
35,"b' HOUSTON (Reuters) - World number one Roger Federer capped  one of the finest seasons in tennis history by successfully  defending his Masters Cup crown with a devastating 6-3, 6-2  final win over Lleyton Hewitt on Sunday.'","Roger Federer, the world's top-ranked tennis player, won the Masters Cup tournament on Sunday. This victory marked the successful defense of his title from the previous year. Federer defeated Lleyton Hewitt in the final match, winning in straight sets with a score of 6-3, 6-2. This win capped off an exceptional season for Federer. 
",1
36,"b'NAJAF, Iraq - Prime Minister Ayad Allawi issued a ""final call"" Thursday to Shiite insurgents to disarm and withdraw from a revered shrine after his government threatened a massive onslaught by Iraqi forces. As the peace deal for Najaf unraveled, militants bombarded a police station with mortar rounds, killing seven police and injuring 31 others...'","In Najaf, Iraq, Prime Minister Ayad Allawi issued a final plea to Shiite insurgents to surrender their weapons and leave the sacred shrine. This call for disarmament came after the Iraqi government warned of a significant military operation against the insurgents. The peace agreement for Najaf crumbled as militants launched a mortar attack on a police station, resulting in the deaths of seven police officers and injuries to 31 others. 
",0
37,"b""NEW YORK - While Oracle Corp. awaits a judge's decision on whether it can continue in its quest to acquire PeopleSoft Inc., the company faced a setback in an unrelated case. An appeals court on Wednesday ruled that a three-year-old shareholder lawsuit charging Oracle and several of its top executives with misleading investors about Oracle's performance may proceed, overturning a lower court's dismissal.""","Oracle Corporation is awaiting a court decision regarding its proposed acquisition of PeopleSoft Inc. In a separate legal case, an appeals court has reversed a lower court's dismissal of a shareholder lawsuit. This lawsuit, filed three years ago, accuses Oracle and several of its executives of misleading investors about the company's financial performance. The appeals court decision allows the lawsuit to proceed. 
",3
38,b'The brother of the first British female soldier to die in Iraq since the war began said today her family were trying to come to terms with her death.',"The brother of the first British female soldier killed in Iraq since the war began stated that his family is struggling to cope with her death. 
",0
39,b'Word on the Web is that Google may be thinking of releasing a Web browser--possibly one based on the open-source Mozilla code. The company now owns www.',"Google is reportedly considering releasing a web browser. This browser might be based on the open-source Mozilla code. Google currently owns the domain www. 
",3
40,"b'LONDON -- Wealthy countries are falling billions of dollars short of their promises to help fund reproductive health care and efforts to improve the status of women around the world, the United Nations said yesterday.'","According to the United Nations, wealthy nations are failing to meet their financial commitments to support reproductive healthcare and women's empowerment initiatives globally.  These countries have fallen short by billions of dollars. 
",0
41,"b'In a bid to further differentiate itself from its Linux rivals, Microsoft has said it will expand its legal indemnification programme to cover almost all its customers.'","To distinguish itself from competitors in the Linux market, Microsoft announced an expansion of its legal indemnification program to cover almost all of its customers. 
",3
42,"b'North Korean Vice Foreign Minister Choe Su-hon, currently attending the UN general assemblys annual ministerial meeting, disclosed on Monday that the North has reprocessed 8,000 spent nuclear fuel rods into weapons-grade.'","North Korea, represented by Vice Foreign Minister Choe Su-hon at the United Nations General Assembly's annual ministerial meeting, announced that it has reprocessed 8,000 spent nuclear fuel rods into weapons-grade material. 
",0
43,"b'A Pakistani court has granted bail to the husband of former Prime Minister Benazir Bhutto, which should result in his release after eight years in prison.'","A Pakistani court has released a man from prison after eight years. The man is the husband of former Prime Minister Benazir Bhutto. 
",0
44,"b'The US Supreme Court agreed Friday to consider a case likely to have a significant impact on the music, video and electronics industries.'","The US Supreme Court has agreed to hear a case that could have significant consequences for the music, video, and electronics industries. 
",3
45,"b""Some of Elvis Presley's earliest recordings - including takes of All Shook Up - go under the hammer on Sunday.""","Some of Elvis Presley's earliest recordings, including versions of the song ""All Shook Up,"" will be auctioned on Sunday. 
",0
46,"b' NEW YORK (Reuters) - U.S. stock futures rose on Tuesday,  pointing to a flat market open, after preliminary third-quarter  gross domestic product data showed higher-than-expected growth.'","U.S. stock futures increased on Tuesday, indicating a stable market opening. This rise followed the release of preliminary third-quarter gross domestic product data, which showed stronger-than-anticipated economic growth. 
",2
47,b'AP - Cincinnati quarterback Gino Guidugli has the cast off his broken throwing hand and expects to start when the Bearcats play in the Fort Worth Bowl next week.',"Cincinnati Bearcats quarterback Gino Guidugli has recovered from a broken throwing hand. He is expected to start in the upcoming Fort Worth Bowl. 
",1
48,"b'LOS ANGELES - The Atlanta Braves have won 12 consecutive division titles by reloading, rather than rebuilding. They #39;ve done it this season with Jaret Wright and JD Drew.'","The Atlanta Braves have achieved twelve consecutive division titles. They have accomplished this by consistently reinforcing their team, instead of undergoing a complete rebuild. This year, Jaret Wright and JD Drew have been key players in their success. 
",1
49,"b'A Soyuz capsule made a soft landing in complete darkness in the steppes of Kazakhstan early on Sunday, bringing a US-Russian space trio back to Earth from the International Space Station.'","A Soyuz spacecraft landed safely in Kazakhstan on Sunday morning. The landing occurred in darkness on the Kazakh steppes. The capsule carried three astronauts, including one American, back to Earth from the International Space Station. 
",3
50,"b'SpaceShipOne, the world #39;s first privately built manned spacecraft, blasted into space for the second time in less than a week on Monday to claim the \\$10 million Ansari X Prize.'","SpaceShipOne, the first privately built spacecraft capable of carrying humans, successfully launched into space for the second time in less than a week on Monday. This flight earned the spacecraft the $10 million Ansari X Prize. 
",3
51,b'AP - A 137-nation meeting of the atomic watchdog agency demanded on Friday that North Korea scrap nuclear weapons ambitions and urged it to again allow agency inspectors to supervise its return to peaceful activities.',"The International Atomic Energy Agency (IAEA), which comprises 137 member nations, held a meeting on Friday. During this meeting, they issued a strong demand that North Korea abandon its nuclear weapons program. The IAEA also urged North Korea to grant access to agency inspectors, allowing them to oversee North Korea's return to peaceful nuclear activities. 
",0
52,"b'Traditional antivirus technology may be too slow to protect users, researchers say.'","Traditional antivirus technology may be too slow to effectively protect users, according to researchers. 
",3
53,"b'AP - Anticipated global warming by mid-century may be less severe in the central U.S. than elsewhere in the country, researchers said Tuesday.'","A new study suggests that the central United States might experience less severe global warming by the middle of the century compared to other regions of the country. 
",3
54,b'PM-designate Omar Karameh forms a new 30-member cabinet which includes women for the first time.',"Omar Karameh, designated Prime Minister, has formed a new cabinet consisting of 30 members. This cabinet is notable for being the first to include women. 
",0
55,b'The Nigerian government has confirmed reports that rebel groups in the country #39;s main oil producing region have agreed to a ceasefire.',"The Nigerian government has confirmed that rebel groups in the country's main oil-producing region have agreed to a ceasefire. 
",0
56,"b'Japanese wife, Hitomi Soga, resolving a diplomatic headache for Japan and its close ally, the United States. Japan has asked for leniency out of sympathy for Jenkins wife.'","Hitomi Soga, a Japanese woman, is a central figure in a diplomatic issue involving Japan and the United States. Japan has requested leniency in the case, citing sympathy for Ms. Soga's situation.  
",0
57,"b'Russian Dinara Safina stormed into the second round of the China Open Monday, the day after big brother Marat Safin won the men #39;s title.'","Dinara Safina, a Russian tennis player, advanced to the second round of the China Open on Monday. This occurred one day after her brother, Marat Safin, won the men's singles title. 
",1
58,b'It #39;s another level of security for America Online - but users will have to pay extra for it. AOL is offering a optional log-on service that will require more than just a password to get onto the service.',"America Online (AOL) is introducing a new optional login service that enhances security. This service, available for an additional fee, requires more than just a password to access the service. 
",2
59,"b'Mozilla Firefox is the Web browser you have been waiting for as an alternative to Microsofts Internet Explorer. If you are fed up with security warnings, virus threats and endless security patches from Microsoft, then switch to Firefox - now.'","Mozilla Firefox is a web browser that provides an alternative to Microsoft Internet Explorer. If you are dissatisfied with security warnings, virus threats, and frequent security updates from Microsoft, then switching to Firefox is an option. 
",3
60,"b'A car is overturned in a damaged Route 117 in Ojiya, northwest of Tokyo, Sunday, Oct. 24, 2004. A barrage of powerful quakes jolted the region Saturday evening, killing at least 16 people, toppling buildings and injuring more than 900 others.'","On Sunday, October 24, 2004, a car was found overturned on a damaged Route 117 in Ojiya, northwest of Tokyo. This occurred following a series of powerful earthquakes that struck the region on the previous Saturday evening. These earthquakes resulted in the deaths of at least 16 people, caused buildings to collapse, and injured over 900 others. 
",0
61,b'Fulham boss Chris Coleman will use the forthcoming break for World Cup qualifying to rally his beleaguered troops and plot an end to the club #39;s dismal start to the season.',"Fulham manager Chris Coleman plans to use the upcoming break for World Cup qualifiers to motivate his team and develop strategies to improve their disappointing start to the season. 
",1
62,b'Success of alternative apps like Firefox may be putting pressure on the software giant.',"The success of alternative applications, such as Firefox, may be placing pressure on a dominant software company. 
",3
63,"b'AP - Gen. Andi Muhammad Jusuf, a former Indonesian army chief who played a pivotal role in the rise to power of former dictator Suharto nearly four decades ago, has died. He was 76.'","General Andi Muhammad Jusuf, a former Indonesian army chief, passed away at the age of 76. He was a significant figure in the rise to power of former dictator Suharto, which occurred almost four decades ago. 
",0
64,"b' LONDON (Reuters) - The yen rose from a 6-week low against  the dollar and 4-month lows versus the euro on Wednesday as oil  prices backed off record highs, while the euro maintained its  grip on recent gains against the greenback.'","The Japanese yen strengthened against the US dollar and the euro on Wednesday. The yen's rise came after oil prices retreated from record highs. Meanwhile, the euro continued its recent gains against the US dollar. 
",2
65,"b'Bee Sports Columnist. A divisional title on the line against Anaheim at the Large Net this weekend, and, for the A #39;s, it #39;s still all about the Big Three.'","The Bees are vying for a divisional title against Anaheim at the Large Net this weekend.  For the Bees, the focus remains on their ""Big Three"" players. 
",1
66,b'AP - The Bush administration released a new economic forecast for 2005 in which it boosted growth forecasts slightly from a year ago but cut back sharply on its estimates of new jobs.',"The Bush administration has released a new economic forecast for 2005. This forecast slightly increases the projected growth rate from the previous year, but significantly reduces the estimated number of new jobs. 
",0
67,"b'AP - Pig manure in Chile will keep neon lights glowing on Tokyo\'s Ginza in years to come. It\'s a grand north-south tradeoff to slow global warming: You reduce your ""greenhouse gas"" emissions so I don\'t have to cut back on mine.'","Pig manure from Chile will be used to generate energy in Tokyo's Ginza district. This initiative aims to reduce greenhouse gas emissions by utilizing a sustainable energy source from a different part of the world, allowing Tokyo to maintain its energy consumption without further increasing its emissions. 
",3
68,"b'(CBS) Finally I have a TiVo for my radio. Well, not quite but it #39;s close enough. Just as TiVo does for TV, RadioShark from Griffin Technology (griffintechnology.'","Griffin Technology has created a product called RadioShark that is similar to a TiVo for radio. Although it is not an actual TiVo, it provides similar functionality for listening to radio. 
",3
69,"b'Taiwan capital says network will reach 90 of population of 3M, will charge users for access. TAIPEI (Reuters) - Taipei plans to make wireless Internet access available across the Taiwan capital by the end '","Taipei, the capital of Taiwan, plans to provide wireless internet access to 90% of its 3 million residents. The city government will charge users for accessing the network. 
",3
70,"b'The latest contender, Flash OFDM technology carries data 10 times faster and is cheaper than 3G phone networks. AMSTERDAM: Europe #39;s second largest mobile carrier T-Mobile said it had started the continent #39;s '","T-Mobile, Europe's second-largest mobile carrier, has announced the deployment of Flash OFDM technology. This technology offers data speeds ten times faster than 3G phone networks at a lower cost. 
",3
71,"b""JEBALIYA REFUGEE CAMP, Gaza Strip - Israel's military said Saturday that its 17-day incursion into the northern Gaza Strip struck a heavy blow to Palestinian militants routinely firing makeshift rockets into the country's southern region.    Palestinian residents, however, accused the army of wanton destruction, saying the broad military offensive targeted densely populated areas never used to launch rockets...""","The Israeli military claimed their recent 17-day incursion into the northern Gaza Strip significantly weakened Palestinian militants who regularly fired homemade rockets into southern Israel. However, Palestinian residents countered that the military operation caused widespread destruction and targeted heavily populated areas that were not involved in rocket launches. 
",0
72,"b'Marsh  amp; McLennan, the broker at the centre of America #39;s insurance scandal, yesterday said it was cutting 3,000 jobs worldwide, including about 280 in the UK, as it reported a 94pc slump in third-quarter profits.'","Marsh & McLennan, a major insurance broker involved in an American insurance scandal, announced that it will lay off 3,000 employees globally, including approximately 280 in the United Kingdom. This decision comes after the company reported a significant 94% decrease in profits for the third quarter. 
",2
73,"b'Corus, Britain #39;s biggest steelmaker, yesterday reported its first profits since the merger of British Steel and Dutch rival Hoogovens five years ago.'","Corus, the largest steel producer in Britain, announced its first profitable period since its formation five years ago. This followed the merger of British Steel and the Dutch company Hoogovens. 
",2
74,b'An Apple executive has told Reuters that the company will expand its European iTunes Music Store next month. Apple Vice President Eddie Cue told the news service that Apple plans to cover ',"Apple plans to expand its European iTunes Music Store next month, according to an Apple executive. Eddie Cue, Apple Vice President, confirmed this to Reuters. 
",3
75,"b' NEW YORK (Reuters) - U.S. stocks look to open flat on  Monday as investors pause after a busy week on Wall Street,  with oil prices ticking higher and the dollar still hovering  near record lows.'","U.S. stock markets are expected to open with little change on Monday. This follows a week of active trading on Wall Street. Oil prices are slightly increasing, while the dollar remains close to its record low levels. 
",2
76,"b""AFP - Sudan's government defiantly dismissed a UN deadline for it to disarm its proxy militia in the Darfur region, insisting it would resolve the conflict there through ongoing African Union peace talks.""","Sudan's government rejected a United Nations deadline to disarm its allied militia in Darfur. The government stated its commitment to resolving the conflict through ongoing peace talks facilitated by the African Union. 
",0
77,"b'Marche Movenpick, the upscale marketplace-cafe at the Prudential Center, abruptly shuttered its doors yesterday and is unlikely to reopen, leaving a big hole to fill in the Boston shopping complex.'","Marche Movenpick, an upscale marketplace-cafe located in the Prudential Center in Boston, has closed permanently. The closure was sudden and unexpected, leaving a vacant space in the shopping complex. 
",2
78,"b'(Article Central) The UK #39;s Consumers #39; Association has referred Apple #39;s iTunes to the Office of Fair Trading, claiming the song shop is overcharging its UK users.'","The UK's Consumers' Association has reported Apple's iTunes to the Office of Fair Trading. The association believes that iTunes is charging its UK users excessive prices. 
",3
79,b'A new and tiny species of human that lived in Indonesia at the same time our own ancestors were colonising the world were discovered by scientists.',"Scientists have discovered a new, very small species of human that lived in Indonesia at the same time as our own ancestors were spreading throughout the world. 
",3
80,"b"" KANSAS CITY, Mo., (Sports Network) - Kansas City Chiefs  quarterback Trent Green is listed as questionable for Sunday's  game against the Oakland Raiders with bruises to his ribs and  hip.""","Kansas City Chiefs quarterback Trent Green is uncertain to play in Sunday's game against the Oakland Raiders. He has sustained injuries to his ribs and hip. 
",1
81,"b""Alex Cora's second homer in two days provides the spark Los Angeles needs to beat San Francisco 7-4 and extend its lead to 2 1/2 games in the NL West.""","Alex Cora hit his second home run in two days, providing the Los Angeles team with the necessary spark to defeat San Francisco 7-4. This victory extended Los Angeles' lead to two and a half games in the National League West. 
",1
82,"b'Turning water into hydrogen energy... A major R  amp; D milestone could help the nation advance toward a clean hydrogen economy. It #39;s a project the INEEL and a Salt Lake ceramics company are collaborating on, using '","The Idaho National Laboratory (INEEL) and a Salt Lake City ceramics company are working together on a research and development project that could significantly advance the nation's progress toward a clean hydrogen economy. This project focuses on turning water into hydrogen energy. 
",3
83,"b' LONDON (Reuters) - If success is earned by those who work  the hardest, then newly crowned world number one Vijay Singh is  a shining example.'","Vijay Singh, the newly crowned world number one golfer, exemplifies the idea that success is achieved through hard work. 
",1
84,b'The entire ice hockey season could be lost to the dispute over salary capping.',"A disagreement regarding salary caps could result in the cancellation of the entire ice hockey season. 
",0
85,"b'On Monday, 47 years to the day after the Russians launched the worlds first satellite Sputnik, Mojave Aerospace, a private space company, will attempt to win the Ansari X Prize with their second launch in less than a week and demonstrate to the world '","On Monday, marking the 47th anniversary of the Soviet Union's launch of Sputnik, the first artificial satellite, Mojave Aerospace, a private space company, will attempt to win the Ansari X Prize. This will be their second launch in less than a week, aiming to demonstrate the capabilities of their technology to the world. 
",3
86,"b'VIENNA, Austria Aug. 30, 2004 - Some nuclear technology ordered by Libya for its former weapons program is missing, while the origin of other material is unclear, the UN nuclear watchdog said Monday, raising '","The International Atomic Energy Agency (IAEA) reported on August 30, 2004, that some nuclear technology ordered by Libya for its former weapons program is missing. The IAEA also stated that the origin of other nuclear material is unclear. 
",0
87,b'An Islamic militant group has claimed on its website to have killed 11 Iraqi national guardsmen it kidnapped near Baghdad last week.',"An Islamic militant group, using its website, has claimed responsibility for the deaths of 11 Iraqi National Guardsmen. These guardsmen were kidnapped near Baghdad the previous week. 
",0
88,b'AP - The top U.S. official in Baghdad said Monday that nationwide elections would be held in Iraq early next year as scheduled regardless of how large a U.N. presence the world body manages to send to oversee the vote.',"The top United States official in Baghdad stated that nationwide elections in Iraq will be held early next year as planned. This decision will be made regardless of the size of the United Nations presence that will oversee the vote. 
",0
89,b'AP - The safety of Celebrex and other pain relievers was questioned Wednesday as scientists in the United States and regulatory agencies in Europe said they feared such drugs might raise the same risk of heart problems as those blamed on the arthritis medicine Vioxx.',"Concerns about the safety of Celebrex and similar pain relievers have emerged. Scientists in the United States and European regulatory agencies have expressed worry that these drugs might increase the risk of heart problems, similar to the risks associated with the arthritis medication Vioxx. 
",3
90,"b'The prosecution in the Schabir Shaik trial will add another accused to its list of 10 on Wednesday, the Durban High Court heard today.'","The prosecution in the Schabir Shaik trial announced that they will add another accused to their existing list of ten defendants. This announcement was made in the Durban High Court. 
",0
91,b'Office Depot teams with HP to recycle your old electronics gear for free.',"Office Depot has partnered with HP to offer free recycling for old electronic devices. 
",3
92,"b""A current slew of games suggest that the Vietnam War is the conflict of the moment, with Conflict: Vietnam and Shellshock: Nam '67 out this week.""","Several recently released video games focus on the Vietnam War. This trend is highlighted by the games ""Conflict: Vietnam"" and ""Shellshock: Nam '67,"" both of which were released this week. 
",3
93,b'PC World - Design and performance issues hold back this very cool idea.',"The product concept is interesting but has design and performance issues that prevent it from being successful. 
",3
94,"b""Reuters - Ghana's President John Kufuor won a\\second and final four-year mandate in the world's number two\\cocoa grower on Thursday after taking more than half the votes\\in the first round of a presidential poll.""","Ghana's President John Kufuor won a second and final four-year term in the country's presidential election. He secured more than half the votes in the first round, making a run-off unnecessary. Ghana is the world's second largest producer of cocoa. 
",0
95,"b'Attorneys for the Colorado woman who accused Kobe Bryant of rape are considering suing the basketball star in his home state of California because of a strict cap on damages in Colorado, they said on Wednesday.'","Attorneys representing the Colorado woman who accused Kobe Bryant of rape are considering filing a lawsuit against him in California, his home state. They are considering this because Colorado has a limit on the amount of money that can be awarded in damages, which they believe is too low. 
",1
